gene,spotX,spotY,parent_id,parent_prob
MYH6,5760.281,494.9326,9930,1.0
PAM,5614.378,495.973,25362,0.05
MYH6,5700.826,494.8478,19763,0.15
NPPA,5625.6,495.6,19763,0.1118033988749895
NPPA,5487.024,497.8554,7190,0.223606797749979
PAM,5646.0,498.0,19763,0.9962429422585638
ITLN1,5251.0,497.1176,24003,1.0
MYH6,5758.448,499.6207,9930,1.0
MYH6,5908.778,498.6667,21503,0.4242640687119284
ITLN1,5247.053,499.0526,24003,1.0
NPPA,5345.358,499.8491,9931,0.206155281280883
MYBPC3,5532.74,499.34,26866,1.0
MYBPC3,5673.611,499.8333,19763,1.0
NPPA,5450.791,500.0698,7190,0.1118033988749895
TNNI1,5668.957,501.1489,19763,1.0
TBX5,5940.1,500.8333,21503,0.4609772228646444
NPPA,5271.259,502.2593,24003,0.5700877125495689
NPPA,5474.736,502.2088,7190,0.4609772228646444
MYH6,5735.617,502.4833,9930,1.0
TBX5,5575.5,504.1304,27170,0.15
SORBS2,5719.292,504.8462,10096,0.3535533905932738
LDB3,5927.766,504.2969,21503,0.7648529270389177
LDB3,5655.755,506.5472,19763,0.95524865872714
NPPA,5766.289,508.1053,10096,1.0
NPPA,5331.466,508.3425,9931,0.223606797749979
NPPA,5472.579,509.6711,7190,0.1414213562373095
MYH6,5595.486,508.8,25362,0.5
MYBPC3,5803.52,508.64,12204,0.95524865872714
NPPA,5879.806,510.1389,9353,0.35
PAM,5799.731,511.5769,52275,0.97082439194738
NPPA,5807.938,510.375,12204,0.7778174593052023
NPPA,5337.029,512.4571,9931,0.565685424949238
MYBPC3,5540.283,511.7609,26866,1.0
MYH6,5600.34,511.94,25362,0.6964194138592059
MYOZ2,5899.413,512.3043,21503,0.5315072906367325
MYOZ2,5276.8,512.68,24003,0.05
PAM,5812.395,513.0526,12204,0.5315072906367325
PAM,5909.83,513.6809,21503,0.9899494936611666
NPPA,5519.838,514.7794,26866,0.51478150704935
NPPA,5590.892,515.027,27170,0.8139410298049853
NPPA,5959.0,515.0652,21503,0.1
NPPA,5262.526,516.1667,24003,0.7648529270389177
NPPA,5985.011,515.3483,2931,0.1414213562373095
PAM,5239.818,516.7273,24003,0.5
PAM,5539.029,517.1471,26866,1.0
NPPA,5551.043,516.5652,26866,1.0
NPPA,5253.552,517.4138,24003,0.7615773105863909
