cell_id,x,y
362,3748.993875,2067.0043333333333
363,7460.6064,10939.333
364,15890.082647058825,5595.060823529412
365,3900.4592835820895,2693.110119402985
366,6016.391333333333,5657.099999999999
367,9376.752111111111,2027.8147777777776
368,8687.629676470588,3803.5843529411763
369,14131.185000000001,7589.6033
371,18389.318,18173.22425
372,9328.634272727273,13950.488181818182
373,18420.028333333332,19050.545000000002
374,7336.180666666667,20830.710000000003
375,10195.216666666667,9367.07311111111
376,8819.916153846154,17000.516923076924
377,18109.185172413792,5168.747413793103
378,16198.797777777778,15702.578888888887
379,8626.253829268293,2139.0147804878047
380,5353.386357142857,5378.540999999999
381,17588.60875,17655.795625
382,13276.11,8029.878999999999
383,11588.693333333335,5425.875333333333
384,11905.38,5331.258777777777
385,13250.441428571428,6694.0992857142855
386,20017.052,12412.9912
387,9684.93,13246.768333333333
388,16404.26619047619,16179.367142857143
389,4203.579,17444.61
390,12627.7405,10113.653
391,4719.243428571428,10212.235
392,8732.558428571429,11886.19
393,18339.922,7432.339
394,10044.963749999999,8643.396625
395,18315.89285714286,5227.1235
396,9743.076142857142,7185.484142857143
397,6677.704535714286,7709.057964285714
398,9481.5075,13156.925
399,13912.80875,19566.865625
400,3568.971,16578.1
401,3939.13332,2403.03172
402,5132.051217391304,3864.3135217391305
403,7724.861888888889,9279.115194444445
404,19357.665882352943,17341.311176470586
405,4213.170999999999,17633.49
406,10996.934285714287,10178.847857142857
407,17332.36888888889,17507.472222222223
408,8383.596866666667,2628.4154
409,11512.5775,5447.0385
410,16851.1385,17816.54
411,21475.033333333333,19463.656666666666
412,16779.92772727273,9202.891727272727
413,4267.775,17407.44
414,17313.22,17572.71285714286
415,18383.248888888887,19084.39111111111
416,11377.578125,10296.559375
417,9935.447,8547.269285714285
418,21147.62238095238,14943.152857142859
420,18813.504210526316,6619.358263157895
421,8087.682647058824,8511.466470588235
422,3567.1020285714285,2924.7954571428572
423,9781.908772727273,7039.6365
424,5300.284196721312,664.9873393442623
426,16196.514117647059,15947.124117647058
427,7307.004666666667,20953.933333333334
428,13483.61,5494.4322
429,6232.198652173913,8302.809695652173
430,6561.594666666667,9460.156466666667
431,16824.274,10062.784666666666
432,5770.6935,19155.323333333334
433,11590.88,9218.0915
434,12535.086153846154,6997.635769230769
435,11127.285249999999,8011.600425
436,8344.247644444444,2495.0618222222224
437,11394.965714285714,6285.701
438,4207.751399999999,17773.158
439,16147.0,22064.5
440,16108.24,22173.31
441,7885.239695652174,1843.0484347826089
442,6120.957666666666,5452.486
443,11109.891428571429,9070.548
444,4846.4121875,10362.365625
445,4251.811235294117,8280.27888235294
446,5048.6122857142855,10104.468571428572
447,11661.925454545453,9233.392818181817
448,7662.638833333333,19514.805833333336
449,6393.395916666667,20298.936666666665
450,3388.958716981132,2898.96679245283
451,3600.0977857142857,4034.8988928571425
452,6062.70275,5476.15875
453,3871.5962916666667,8779.714166666667
454,16528.756666666664,23620.455
455,8550.35213253012,3406.9784819277106
456,7461.338400000001,7166.011
457,9913.203766666667,7559.730666666666
458,10509.925000000001,7948.509029411765
459,7323.3654230769225,4557.917230769231
460,12637.227777777778,6304.658444444444
461,7031.3322,6587.8776
462,7065.549333333333,6639.710666666667
463,9783.531789473684,16544.51894736842
464,11515.386666666667,4458.5509999999995
465,11003.735,5163.7925
466,9590.121444444443,8885.75888888889
467,7728.49375,11430.8275
468,11232.814,6280.201
469,6979.832461538462,10290.618461538463
