parent_id,ALDH1A1,COL1A1,COL3A1,CPE,CRABP2,EBF2,ELN,FABP3,FAM210B,HSPB7,ISL1,ISLR,LDB3,LRRN3,MFAP2,MT1F,MT2A,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYOM1,MYOZ2,MYRF,NPPA,NUSAP1,PAM,PTN,RSPO3,SBSPON,SLC39A8,SLC8A1,SORBS2,STMN2,TBX18,TBX5,TCF21,TNNI1,TNNT1,TOP2A,TPM1
957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572682063274631,0.0,6.977681048517689,0.0,0.0,0.0,0.0,6.572682063274631,6.572682063274631,8.363275817704324,0.0,6.572682063274631,0.0,0.0,0.0,0.0,0.0,5.88093194910298,0.0,6.977681048517689,0.0,0.0,0.0,5.88093194910298,0.0,0.0
997,0.0,0.0,5.687374080428037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.476305822759816,7.294097528698879,0.0,0.0,7.294097528698879,0.0,5.687374080428037,0.0,7.07112384743449,0.0,7.476305822759816,5.687374080428037,0.0,0.0,5.687374080428037,0.0,5.687374080428037,0.0,0.0,6.783724827624065,0.0,0.0,0.0,0.0,0.0
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,6.2166061010848646,6.90875477931522,6.2166061010848646,0.0,0.0,6.90875477931522,6.2166061010848646,0.0,0.0,8.160803920954665,0.0,7.313886831633462,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0
1116,0.0,6.608999776101094,7.301472639381708,0.0,0.0,0.0,0.0,0.0,5.917199867519596,0.0,0.0,0.0,0.0,7.0140153898827995,0.0,0.0,0.0,0.0,5.917199867519596,0.0,0.0,0.0,0.0,0.0,6.608999776101094,6.608999776101094,0.0,5.917199867519596,5.917199867519596,0.0,0.0,0.0,0.0,6.608999776101094,0.0,7.860799294944249,0.0,0.0,0.0,5.917199867519596,0.0,0.0
1164,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.265129978035143,0.0,0.0,0.0,0.0,7.552637157608365,6.167915732334905,6.860014563948276,0.0,6.167915732334905,6.860014563948276,0.0,6.860014563948276,0.0,6.167915732334905,6.167915732334905,0.0,0.0,0.0,0.0,6.860014563948276,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0
1313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,6.90875477931522,6.90875477931522,0.0,0.0,7.313886831633462,6.2166061010848646,0.0,0.0,7.601402334583733,0.0,7.601402334583733,0.0,0.0,0.0,0.0,0.0,6.90875477931522,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0
1324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,6.90875477931522,7.313886831633462,0.0,7.824445930877619,0.0,6.2166061010848646,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,6.2166061010848646,0.0,0.0,0.0,0.0,0.0,7.601402334583733,0.0,0.0,0.0
1356,0.0,0.0,0.0,0.0,6.077143515095717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7691426758635,7.461715351917766,0.0,0.0,0.0,0.0,6.077143515095717,0.0,8.63997242093645,0.0,6.077143515095717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.077143515095717,0.0,0.0,0.0,0.0,0.0,0.0
1411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,7.824445930877619,0.0,7.313886831633462,6.2166061010848646,6.2166061010848646,0.0,0.0,6.2166061010848646,0.0,6.2166061010848646,7.313886831633462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,6.2166061010848646,6.2166061010848646,0.0
1469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.572682063274631,0.0,0.0,0.0,0.0,7.4881336174935935,7.265129978035143,0.0,0.0,6.572682063274631,0.0,0.0,0.0,7.4881336174935935,0.0,7.265129978035143,0.0,0.0,0.0,5.88093194910298,6.977681048517689,0.0,0.0,0.0,5.88093194910298,0.0,5.88093194910298,0.0,0.0,0.0
1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.313886831633462,0.0,7.313886831633462,7.313886831633462,6.90875477931522,6.2166061010848646,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,6.2166061010848646,7.313886831633462,0.0,0.0,6.90875477931522,0.0,6.2166061010848646,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,7.824445930877619,0.0,6.90875477931522,0.0,7.601402334583733,0.0,6.90875477931522,0.0,0.0,6.2166061010848646,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,6.90875477931522,0.0,0.0,0.0,0.0,6.2166061010848646,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.860014563948276,0.0,0.0,0.0,0.0,7.775675758511548,6.167915732334905,0.0,0.0,6.167915732334905,0.0,0.0,0.0,7.775675758511548,0.0,7.775675758511548,0.0,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0,0.0,6.167915732334905,0.0,0.0,0.0
