gene,mean_cnc,mean_schwann,log2FC,pvalue
SNRPA1,0.6774193548387096,0.7727272727272727,-0.18990984754595325,0.6120816172474131
PRPF40A,1.5483870967741935,1.3636363636363635,0.18330708712733074,0.6121593659326795
PCMTD2,0.3225806451612903,0.25,0.3677304860795598,0.6124143373393295
MAPK1,0.3870967741935484,0.3181818181818182,0.28284207969406006,0.6125126816757362
ASH2L,0.2903225806451613,0.36363636363636365,-0.3248386884388126,0.6132077817403572
NECTIN2,0.45161290322580644,0.5454545454545454,-0.2723717208161315,0.6136842216175358
DOK5,0.25806451612903225,0.3409090909090909,-0.40165392882489104,0.6138033618369856
PPIE,0.5483870967741935,0.45454545454545453,0.27076951148224115,0.6142836183482561
ZNF829,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
H6PD,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
IKBKAP,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
PHTF2,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
BRD1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
TTLL5,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
CLK4,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
NUDT19,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ZNF507,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
CCDC86,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
RANBP9,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
RP11-410L14.2,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
FAM120C,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
EPG5,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
PRMT3,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
CORO2B,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
SLC25A38,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
EXOC2,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
POLG2,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
MYBBP1A,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ESCO1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
TTC38,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
BRF1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
ARRDC1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
TRIM23,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
MDP1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
SEPT1,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
POLI,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
TAF8,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
RNF175,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
FANCC,0.12903225806451613,0.09090909090909091,0.5052306195354959,0.6145127413465974
